x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
2.5364570519e+08,7.1236597205e+08,-8.6339974960e+06,-1.2471705599e+01,5.0029437819e+00,2.5827181395e-01
2.4284151763e+08,7.1660613429e+08,-8.4098915557e+06,-1.2536493375e+01,4.8117465979e+00,2.6048699824e-01
2.3198195001e+08,7.2068221778e+08,-8.1838571468e+06,-1.2600913090e+01,4.6234945746e+00,2.6273233781e-01
2.2106883926e+08,7.2459378578e+08,-7.9559559116e+06,-1.2660131829e+01,4.4306844281e+00,2.6480452871e-01
2.1010592401e+08,7.2833999058e+08,-7.7262340940e+06,-1.2716805335e+01,4.2402869711e+00,2.6691676995e-01
1.9909465658e+08,7.3192048922e+08,-7.4947543124e+06,-1.2772378549e+01,4.0482238699e+00,2.6890399516e-01
1.8803830539e+08,7.3533464577e+08,-7.2615712589e+06,-1.2820758026e+01,3.8553776048e+00,2.7087848971e-01
1.7693941777e+08,7.3858196027e+08,-7.0267389480e+06,-1.2869417814e+01,3.6620545139e+00,2.7274315682e-01
1.6580000467e+08,7.4166229623e+08,-6.7903160412e+06,-1.2915655244e+01,3.4670152060e+00,2.7448356604e-01
1.5462376597e+08,7.4457482159e+08,-6.5523580730e+06,-1.2955530201e+01,3.2750013876e+00,2.7632759289e-01
1.4341210614e+08,7.4731959334e+08,-6.3129231530e+06,-1.2996369230e+01,3.0786601660e+00,2.7791226106e-01
1.3216843184e+08,7.4989615268e+08,-6.0720664781e+06,-1.3031457508e+01,2.8851051074e+00,2.7958035903e-01
1.2089520050e+08,7.5230408400e+08,-5.8298484644e+06,-1.3062802963e+01,2.6907674139e+00,2.8117847629e-01
1.0959434837e+08,7.5454367017e+08,-5.5863217475e+06,-1.3094632319e+01,2.4920539163e+00,2.8250803668e-01
9.8269712053e+07,7.5661419524e+08,-5.3415438902e+06,-1.3120742055e+01,2.3001285837e+00,2.8405443102e-01
8.6922587679e+07,7.5851587459e+08,-5.0955770527e+06,-1.3144711478e+01,2.1028659861e+00,2.8533895396e-01
7.5556332424e+07,7.6024858431e+08,-4.8484735978e+06,-1.3166118189e+01,1.9067668551e+00,2.8659393560e-01
6.4173531380e+07,7.6181202046e+08,-4.6002960758e+06,-1.3183151079e+01,1.7139913035e+00,2.8792719934e-01
5.2775927067e+07,7.6320666310e+08,-4.3510997845e+06,-1.3197962372e+01,1.5144683661e+00,2.8893958615e-01
4.1367342110e+07,7.6443211840e+08,-4.1009375249e+06,-1.3210630958e+01,1.3207705605e+00,2.9007615083e-01
2.9949177439e+07,7.6548874036e+08,-3.8498709338e+06,-1.3220267349e+01,1.1257151311e+00,2.9109693573e-01
1.8524556858e+07,7.6637655452e+08,-3.5979553906e+06,-1.3225276245e+01,9.2898118139e-01,2.9200927511e-01
7.0961018966e+06,7.6709556929e+08,-3.3452470368e+06,-1.3229409660e+01,7.3605537358e-01,2.9296296784e-01
-4.3344355726e+06,7.6764634572e+08,-3.0918038603e+06,-1.3229278506e+01,5.3950876701e-01,2.9373038112e-01
-1.5763463547e+07,7.6802864671e+08,-2.8376824508e+06,-1.3225603691e+01,3.4513028216e-01,2.9450487210e-01
-2.7189475842e+07,7.6824317902e+08,-2.5829368357e+06,-1.3222905080e+01,1.5078934730e-01,2.9514831185e-01
-3.8609381541e+07,7.6828996937e+08,-2.3276286336e+06,-1.3212867887e+01,-4.2678012732e-02,2.9580355550e-01
